Zip,IMR
78252,6.7842607
78253,2.8700287
78254,4.7333546
78255,8.4151468
78256,
78257,
78258,5.3632374
78259,2.0140986
78260,4.2134833
78261,1.8132366
78262,
78263,
78264,8.2417583
78265,
78266,
78268,
78269,
78270,
78277,
78278,
78283,
78285,
78288,
78289,
78292,
78293,
78295,
78299,
78313,
78330,
78332,6.25
78333,
78335,
78336,10.401189
78338,
78339,
78340,
78341,
78342,
78343,
78344,
78347,
78349,
78351,
78352,
78353,
78355,4.0241446
78357,
78358,
78359,
78360,
78361,
78362,3.4782608
78363,1.6251354
78364,
78368,4.9261084
78369,
78370,
78371,
78372,
78373,
78374,4.3383946
78375,
78376,
78377,
78379,
78380,5.8479533
78381,
78382,5.1612902
78383,
78384,7.4257426
78385,
78387,9.5419846
78389,
78390,
78391,
78393,
78401,
78402,
78403,
78404,5.2687039
78405,0.94250709
78406,
78407,
78408,5.9382424
78409,
78410,5.2875085
78411,4.8678722
78412,1.0389611
78413,4.1300979
78414,8.0340261
78415,3.4181542
78416,5.5248618
78417,
78418,3.6603222
78419,
78426,
78427,
78455,
78460,
78465,
78466,
78467,
78468,
78477,
78480,
78501,4.9052396
78502,
78503,4.5924225
78504,2.3688664
78505,
78513,
78516,5.931612
78520,3.7641153
78521,5.5045872
78522,
78523,
78524,
78526,4.300364
78532,
78534,
78535,
78536,
78537,6.4412236
78538,5.5803571
78539,5.3209181
78540,
78541,2.6441038
78542,4.2448616
78543,4.9586778
78544,
78545,
78546,
78547,
78548,
78549,
78550,5.995204
78551,
78552,3.6188178
78553,
78555,
78557,4.5829515
78558,
78559,6.7114096
78560,
78561,
78562,
78563,
78564,
78565,
78566,6.0728745
78567,
78568,
78569,
78570,5.168849
78572,3.9457884
78573,3.4686091
78574,4.3355327
78575,
78576,3.0959752
78577,4.4349289
78578,1.305483
78579,
78580,4.8899755
78582,4.3440485
78583,
78584,5.3475938
78585,
78586,7.0511208
78587,
78588,
78589,6.8386698
78590,
78591,
78592,
78593,2.4937656
78594,
78595,0
78596,4.3988271
78597,
78598,
78599,
78601,
78602,3.3726814
78604,
78605,
78606,
78607,
78608,
78609,
78610,3.5671818
